name,smiles,mw,logp,hbd,hba,category
Aspirin,CC(=O)Oc1ccccc1C(=O)O,180.16,1.19,1,4,Analgesic
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,206.28,3.97,1,2,NSAID
Acetaminophen,CC(=O)Nc1ccc(O)cc1,151.16,0.46,2,3,Analgesic
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.19,-0.07,0,6,Stimulant
Metformin,CN(C)C(=N)NC(=N)N,129.16,-1.36,3,5,Antidiabetic
Atorvastatin,CC(C)c1n(CC(O)CC(O)CC(=O)O)c(c2ccc(F)cc2)c(c1c3ccccc3)C(=O)Nc4ccccc4,558.64,6.36,4,9,Statin
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.36,1.88,2,4,Beta-blocker
Omeprazole,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,345.42,2.23,1,6,PPI
Amoxicillin,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,365.4,0.87,4,7,Antibiotic
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.34,0.28,2,6,Antibiotic
Lisinopril,NCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N2CCCC2C(=O)O,405.49,-0.62,4,8,ACE inhibitor
Losartan,CCCCc1nc(Cl)c(n1Cc2ccc(c(c2)c3nnn[nH]3)c4ccccc4CO)CO,422.91,4.01,3,7,ARB
Simvastatin,CCC(C)(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,418.57,4.68,2,5,Statin
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C1c2ccccc2Cl)C(=O)OC,408.88,3.0,2,7,CCB
Warfarin,CC(=O)CC(c1ccccc1)c2c(O)c3ccccc3oc2=O,308.33,2.7,1,4,Anticoagulant
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c2ccccc2,309.33,4.05,1,2,SSRI
Sertraline,CNC1CCC(c2ccc(Cl)c(Cl)c2)c3ccccc13,306.23,5.29,1,1,SSRI
Diazepam,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,284.74,2.82,0,3,Benzodiazepine
Prednisone,CC12CC(=O)C3C(CC=C4CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,358.43,1.46,2,5,Corticosteroid
Levothyroxine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,776.87,2.43,3,4,Thyroid hormone
Naproxen,COc1ccc2cc(CC(C)C(=O)O)ccc2c1,230.26,3.18,1,3,NSAID
Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,314.4,0.27,2,7,H2 blocker
Clopidogrel,COC(=O)C(c1ccccc1Cl)N2CCc3sccc3C2,321.82,3.37,0,3,Antiplatelet
Gabapentin,NCC1(CC(=O)O)CCCCC1,171.24,-1.1,2,3,Anticonvulsant
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,297.74,-0.07,3,6,Diuretic
Montelukast,CC(C)(O)c1ccccc1CCC(SCC2(CC2)CC(=O)O)c3cccc(c3)/C=C/c4ccc5ccc(Cl)cc5c4,586.18,8.79,2,4,Leukotriene RA
Sildenafil,CCCc1nn(C)c2c1nc(nc2OCC)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4,474.58,2.75,1,8,PDE5 inhibitor
Tamoxifen,CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,371.51,6.35,0,2,SERM
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.4,3.2,1,3,SNRI
Pantoprazole,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,383.37,1.52,1,7,PPI
Escitalopram,OC(CCN1CCC(=C2c3ccc(F)cc3COc4cc(C#N)ccc24)CC1)C5CCCCC5,324.39,3.47,1,4,SSRI
Doxycycline,CC1C2C(O)C3C(=C(O)c4cccc(O)c4C3=O)C(=O)C2(O)C(=O)C(=C1N(C)C)O,444.43,-0.72,7,10,Antibiotic
Albuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,239.31,0.64,4,4,Bronchodilator
Rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(c1/C=C/C(O)CC(O)CC(=O)O)c2ccc(F)cc2,481.54,1.37,3,9,Statin
Cephalexin,CC1=C(N2C(SC1)C(NC(=O)C(N)c3ccccc3)C2=O)C(=O)O,347.39,0.65,3,6,Antibiotic
Azithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(N(C)C)C3O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,748.98,4.02,5,14,Antibiotic
Linagliptin,Cc1nc2n(CC#Cc3ccc(C(=O)N4CCCC4=O)cc3)c(=O)n(c2n1Cc5ccccc5)C6CC6,472.54,1.89,0,8,DPP-4 inhibitor
Empagliflozin,OCC1OC(Oc2ccc(Cc3ccc(OC4CCCC4)c(Cl)c3)cc2)C(O)C(O)C1O,450.91,1.97,4,6,SGLT2 inhibitor
Apixaban,COc1ccc(cc1)n2nc(C(=O)N)c3CCN(C(=O)c23)c4ccc(cc4)N5CCOCC5,459.5,1.7,2,8,Anticoagulant
Rivaroxaban,ClC1=CC=C(C=C1)N2C(=O)C(NCC3=CC=C(N4CCOCC4)C(=C3)=O)OC2=O,435.88,1.5,1,7,Anticoagulant
Trastuzumab,,145531.5,,,,Monoclonal antibody
Pembrolizumab,,146259.0,,,,Monoclonal antibody
Adalimumab,,144190.3,,,,Monoclonal antibody
Rituximab,,143859.7,,,,Monoclonal antibody
Insulin Glargine,,6063.0,,,,Hormone
Semaglutide,,4113.58,,,,GLP-1 agonist
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C(CC1OC(=O)C(C(c5ccccc5)NC(=O)c6ccccc6)O)O)OC(=O)C7CCCCC7)(CO4)OC(=O)C)OC(=O)C)O)C)OC(=O)C,853.91,3.96,4,14,Chemotherapy
Doxorubicin,COc1cccc2c1C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C2=O)C(=O)CO,543.52,1.27,6,12,Chemotherapy
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3,454.44,-1.85,7,12,Antimetabolite
